baseline_name,rank,finding_id,case_id,package_name,vulnerability_id,baseline_score
severity_only,1,dfae8ad704da95274191,case_027,minimist,1097677,90.0
severity_only,2,b1bcb72b55d2ab97efc6,case_015,minimist,1097677,90.0
severity_only,3,7f6efbcbe5410d408401,case_009,minimist,1097677,90.0
severity_only,4,584b446fe1529ff19370,case_013,minimist,1097677,90.0
severity_only,5,4421cb015d6251153ad2,case_011,minimist,1097677,90.0
severity_only,6,2eb7b7a27761f8e9459a,case_025,minimist,1097677,90.0
severity_only,7,11bed7af8b5892a7b122,case_031,minimist,1097677,90.0
severity_only,8,0947d9e9159ac6687121,case_029,minimist,1097677,90.0
severity_only,9,fc5c775799e97a14d4d1,case_032,lodash,1115806,75.0
severity_only,10,f3bb92180ed6db301b6d,case_034,lodash,1115806,75.0
severity_only,11,ec2acca33b475fced4aa,case_023,qs,1104118,75.0
severity_only,12,ccbbf268b117000d38c6,case_003,lodash,1115806,75.0
severity_only,13,c38867f55e89350f8d7e,case_038,lodash,1115806,75.0
severity_only,14,bd629526a2f05d3d8e28,case_036,lodash,1115806,75.0
severity_only,15,ad5242ab391b264a8339,case_005,lodash,1106913,75.0
severity_only,16,a5fa799bab3849ec0bff,case_019,qs,1104118,75.0
severity_only,17,a41e0c6d46f7e5a80cce,case_003,lodash,1106913,75.0
severity_only,18,9a73980d7096056ad7a1,case_007,lodash,1115806,75.0
severity_only,19,6fcd0bdc3d7c7a31e762,case_017,qs,1104118,75.0
severity_only,20,6da7dcb28d93ec354a24,case_007,lodash,1106913,75.0
severity_only,21,607b0e0584b8e5403e59,case_021,qs,1104118,75.0
severity_only,22,52df5173d3fdb79adb4e,case_001,lodash,1115806,75.0
severity_only,23,51cb74aee46ad378cdff,case_005,lodash,1115806,75.0
severity_only,24,43467daa40bf4d25cb44,case_001,lodash,1106913,75.0
severity_only,25,fbc2f01801d494f5ea09,case_038,lodash,1115810,50.0
severity_only,26,f93bcb459ea8c89cb42f,case_005,lodash,1115810,50.0
severity_only,27,f0b529e2e1409804c79a,case_036,lodash,1115810,50.0
severity_only,28,f06b527047699a540d22,case_003,lodash,1115810,50.0
severity_only,29,ea5036e04bae5a560aa8,case_007,lodash,1115810,50.0
severity_only,30,e08705857748d60ba734,case_017,express,1111636,50.0
severity_only,31,deaa31846cc0fd8ceb82,case_009,minimist,1096466,50.0
severity_only,32,d9c7b061cadd3fac5c62,case_013,minimist,1096466,50.0
severity_only,33,ca2f712989ff7d36fc34,case_011,minimist,1096466,50.0
severity_only,34,b842688fa05bc7e36f4f,case_038,lodash,1112455,50.0
severity_only,35,b527d06a9b9be302a230,case_045,nanoid,1109564,50.0
severity_only,36,b4d1b370953674d1d327,case_032,lodash,1112455,50.0
severity_only,37,ac649cc52d7d06e64c74,case_001,lodash,1112455,50.0
severity_only,38,aa79a4b2072e9a6d461e,case_025,minimist,1096466,50.0
severity_only,39,a65401f422ae11934e1e,case_015,minimist,1096466,50.0
severity_only,40,a00fb906491d4b670ee6,case_031,minimist,1096466,50.0
severity_only,41,9ec61679d5761db5aae7,case_034,lodash,1112455,50.0
severity_only,42,9ae62f583410cb72b281,case_003,lodash,1108258,50.0
severity_only,43,986bbcaa99630768b294,case_007,lodash,1112455,50.0
severity_only,44,8a83307f1e4d71d4a3fa,case_036,lodash,1112455,50.0
severity_only,45,78b5d786419948cf4d60,case_003,lodash,1112455,50.0
severity_only,46,6ef11ce2ccfb42da5fb7,case_001,lodash,1115810,50.0
severity_only,47,69fd8f073f58a30ab20e,case_021,qs,1113719,50.0
severity_only,48,685559859052d3c6ea29,case_029,minimist,1096466,50.0
severity_only,49,644732398f43e8ef9adf,case_005,lodash,1108258,50.0
severity_only,50,615d93b90b0e5c97a161,case_047,nanoid,1109564,50.0
severity_only,51,5e9c2bf5fb6791548430,case_019,express,1111636,50.0
severity_only,52,58891f6fc8688fa9c05c,case_034,lodash,1115810,50.0
severity_only,53,465933d7cae65beed4fd,case_027,minimist,1096466,50.0
severity_only,54,45443f83d7ffae16b2d5,case_007,lodash,1108258,50.0
severity_only,55,3d9f44081bd207805296,case_021,express,1111636,50.0
severity_only,56,3a7bd891282ad1494f9e,case_005,lodash,1112455,50.0
severity_only,57,2ff8544aa8483b8c5967,case_019,qs,1113719,50.0
severity_only,58,2eca861b667e59cfeddb,case_023,express,1111636,50.0
severity_only,59,20bb33a1f2ff288dd466,case_023,qs,1113719,50.0
severity_only,60,1ba40b86720eaa5b840f,case_049,nanoid,1109564,50.0
severity_only,61,0726a31b529ceaa1adc7,case_032,lodash,1115810,50.0
severity_only,62,05d464298c48418eb870,case_001,lodash,1108258,50.0
severity_only,63,05792c8dfd3351fb7286,case_017,qs,1113719,50.0
severity_only,64,fbe8c3351a4aa3daa501,case_021,express,1100530,25.0
severity_only,65,fa9d71bbf2896549aa3a,case_019,express,1100530,25.0
severity_only,66,b9d56e0335ac33a939cc,case_023,express,1100530,25.0
severity_only,67,5b76eaab3610a8af058c,case_017,express,1100530,25.0
