finding_id,case_id,scanner_name,package_name,package_version,ecosystem,package_manager,vulnerability_id,cve_id,ghsa_id,osv_id,severity,cvss_score,fixed_version,advisory_url,dependency_scope,direct_or_transitive,source_file,raw_reference,scanner_confidence,normalization_notes
43467daa40bf4d25cb44,case_001,npm_audit,lodash,4.17.20,npm,npm,1106913,,GHSA-35JH-R3H4-6JHM,1106913,high,7.2,4.18.1,https://github.com/advisories/GHSA-35jh-r3h4-6jhm,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_001.json,unknown,npm audit scanner result
05d464298c48418eb870,case_001,npm_audit,lodash,4.17.20,npm,npm,1108258,,GHSA-29MW-WPGM-HMR9,1108258,moderate,5.3,4.18.1,https://github.com/advisories/GHSA-29mw-wpgm-hmr9,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_001.json,unknown,npm audit scanner result
ac649cc52d7d06e64c74,case_001,npm_audit,lodash,4.17.20,npm,npm,1112455,,GHSA-XXJR-MMJV-4GPG,1112455,moderate,6.5,4.18.1,https://github.com/advisories/GHSA-xxjr-mmjv-4gpg,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_001.json,unknown,npm audit scanner result
52df5173d3fdb79adb4e,case_001,npm_audit,lodash,4.17.20,npm,npm,1115806,,GHSA-R5FR-RJXR-66JC,1115806,high,8.1,4.18.1,https://github.com/advisories/GHSA-r5fr-rjxr-66jc,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_001.json,unknown,npm audit scanner result
6ef11ce2ccfb42da5fb7,case_001,npm_audit,lodash,4.17.20,npm,npm,1115810,,GHSA-F23M-R3PF-42RH,1115810,moderate,6.5,4.18.1,https://github.com/advisories/GHSA-f23m-r3pf-42rh,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_001.json,unknown,npm audit scanner result
94140debcfa4ad0a79ea,case_002,pip_audit,pyyaml,5.3.1,pypi,pip,PYSEC-2021-142,CVE-2020-14343,GHSA-8Q59-Q68H-6HV4,PYSEC-2021-142,,,5.4,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_002.json,unknown,pip-audit scanner result; deduplicated_from_2_scanner_records
a41e0c6d46f7e5a80cce,case_003,npm_audit,lodash,4.17.20,npm,npm,1106913,,GHSA-35JH-R3H4-6JHM,1106913,high,7.2,4.18.1,https://github.com/advisories/GHSA-35jh-r3h4-6jhm,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_003.json,unknown,npm audit scanner result
9ae62f583410cb72b281,case_003,npm_audit,lodash,4.17.20,npm,npm,1108258,,GHSA-29MW-WPGM-HMR9,1108258,moderate,5.3,4.18.1,https://github.com/advisories/GHSA-29mw-wpgm-hmr9,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_003.json,unknown,npm audit scanner result
78b5d786419948cf4d60,case_003,npm_audit,lodash,4.17.20,npm,npm,1112455,,GHSA-XXJR-MMJV-4GPG,1112455,moderate,6.5,4.18.1,https://github.com/advisories/GHSA-xxjr-mmjv-4gpg,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_003.json,unknown,npm audit scanner result
ccbbf268b117000d38c6,case_003,npm_audit,lodash,4.17.20,npm,npm,1115806,,GHSA-R5FR-RJXR-66JC,1115806,high,8.1,4.18.1,https://github.com/advisories/GHSA-r5fr-rjxr-66jc,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_003.json,unknown,npm audit scanner result
f06b527047699a540d22,case_003,npm_audit,lodash,4.17.20,npm,npm,1115810,,GHSA-F23M-R3PF-42RH,1115810,moderate,6.5,4.18.1,https://github.com/advisories/GHSA-f23m-r3pf-42rh,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_003.json,unknown,npm audit scanner result
37b34e6578a556692199,case_004,pip_audit,pyyaml,5.3.1,pypi,pip,PYSEC-2021-142,CVE-2020-14343,GHSA-8Q59-Q68H-6HV4,PYSEC-2021-142,,,5.4,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_004.json,unknown,pip-audit scanner result; deduplicated_from_2_scanner_records
ad5242ab391b264a8339,case_005,npm_audit,lodash,4.17.20,npm,npm,1106913,,GHSA-35JH-R3H4-6JHM,1106913,high,7.2,4.18.1,https://github.com/advisories/GHSA-35jh-r3h4-6jhm,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_005.json,unknown,npm audit scanner result
644732398f43e8ef9adf,case_005,npm_audit,lodash,4.17.20,npm,npm,1108258,,GHSA-29MW-WPGM-HMR9,1108258,moderate,5.3,4.18.1,https://github.com/advisories/GHSA-29mw-wpgm-hmr9,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_005.json,unknown,npm audit scanner result
3a7bd891282ad1494f9e,case_005,npm_audit,lodash,4.17.20,npm,npm,1112455,,GHSA-XXJR-MMJV-4GPG,1112455,moderate,6.5,4.18.1,https://github.com/advisories/GHSA-xxjr-mmjv-4gpg,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_005.json,unknown,npm audit scanner result
51cb74aee46ad378cdff,case_005,npm_audit,lodash,4.17.20,npm,npm,1115806,,GHSA-R5FR-RJXR-66JC,1115806,high,8.1,4.18.1,https://github.com/advisories/GHSA-r5fr-rjxr-66jc,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_005.json,unknown,npm audit scanner result
f93bcb459ea8c89cb42f,case_005,npm_audit,lodash,4.17.20,npm,npm,1115810,,GHSA-F23M-R3PF-42RH,1115810,moderate,6.5,4.18.1,https://github.com/advisories/GHSA-f23m-r3pf-42rh,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_005.json,unknown,npm audit scanner result
bb1f1aaf25014f7f725b,case_006,pip_audit,pyyaml,5.3.1,pypi,pip,PYSEC-2021-142,CVE-2020-14343,GHSA-8Q59-Q68H-6HV4,PYSEC-2021-142,,,5.4,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_006.json,unknown,pip-audit scanner result; deduplicated_from_2_scanner_records
6da7dcb28d93ec354a24,case_007,npm_audit,lodash,4.17.20,npm,npm,1106913,,GHSA-35JH-R3H4-6JHM,1106913,high,7.2,4.18.1,https://github.com/advisories/GHSA-35jh-r3h4-6jhm,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_007.json,unknown,npm audit scanner result
45443f83d7ffae16b2d5,case_007,npm_audit,lodash,4.17.20,npm,npm,1108258,,GHSA-29MW-WPGM-HMR9,1108258,moderate,5.3,4.18.1,https://github.com/advisories/GHSA-29mw-wpgm-hmr9,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_007.json,unknown,npm audit scanner result
986bbcaa99630768b294,case_007,npm_audit,lodash,4.17.20,npm,npm,1112455,,GHSA-XXJR-MMJV-4GPG,1112455,moderate,6.5,4.18.1,https://github.com/advisories/GHSA-xxjr-mmjv-4gpg,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_007.json,unknown,npm audit scanner result
9a73980d7096056ad7a1,case_007,npm_audit,lodash,4.17.20,npm,npm,1115806,,GHSA-R5FR-RJXR-66JC,1115806,high,8.1,4.18.1,https://github.com/advisories/GHSA-r5fr-rjxr-66jc,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_007.json,unknown,npm audit scanner result
ea5036e04bae5a560aa8,case_007,npm_audit,lodash,4.17.20,npm,npm,1115810,,GHSA-F23M-R3PF-42RH,1115810,moderate,6.5,4.18.1,https://github.com/advisories/GHSA-f23m-r3pf-42rh,runtime,direct,node_modules/lodash,artifacts\scanner_raw\npm_audit\case_007.json,unknown,npm audit scanner result
1f880d6c783127da34b0,case_008,pip_audit,pyyaml,5.3.1,pypi,pip,PYSEC-2021-142,CVE-2020-14343,GHSA-8Q59-Q68H-6HV4,PYSEC-2021-142,,,5.4,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_008.json,unknown,pip-audit scanner result; deduplicated_from_2_scanner_records
deaa31846cc0fd8ceb82,case_009,npm_audit,minimist,0.0.8,npm,npm,1096466,,GHSA-VH95-RMGR-6W4M,1096466,moderate,5.6,1.2.8,https://github.com/advisories/GHSA-vh95-rmgr-6w4m,runtime,direct,node_modules/minimist,artifacts\scanner_raw\npm_audit\case_009.json,unknown,npm audit scanner result
7f6efbcbe5410d408401,case_009,npm_audit,minimist,0.0.8,npm,npm,1097677,,GHSA-XVCH-5GV4-984H,1097677,critical,9.8,1.2.8,https://github.com/advisories/GHSA-xvch-5gv4-984h,runtime,direct,node_modules/minimist,artifacts\scanner_raw\npm_audit\case_009.json,unknown,npm audit scanner result
ea78a180a9ae06551f9e,case_010,pip_audit,requests,2.19.1,pypi,pip,CVE-2024-35195,CVE-2024-35195,GHSA-9WX4-H78V-VM56,,,,2.32.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_010.json,unknown,pip-audit scanner result
c9e3889ac45e265041cf,case_010,pip_audit,requests,2.19.1,pypi,pip,CVE-2024-47081,CVE-2024-47081,GHSA-9HJG-9R4M-MVJ7,,,,2.32.4,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_010.json,unknown,pip-audit scanner result
02f460ad7b9398cf21c0,case_010,pip_audit,requests,2.19.1,pypi,pip,CVE-2026-25645,CVE-2026-25645,GHSA-GC5V-M9X4-R6X2,,,,2.33.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_010.json,unknown,pip-audit scanner result
ee6ddc365d25f5b412e0,case_010,pip_audit,requests,2.19.1,pypi,pip,PYSEC-2018-28,CVE-2018-18074,GHSA-X84V-XCM2-53PG,PYSEC-2018-28,,,2.20.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_010.json,unknown,pip-audit scanner result
48cb1a8aa7ff85d04b24,case_010,pip_audit,requests,2.19.1,pypi,pip,PYSEC-2023-74,CVE-2023-32681,GHSA-J8R2-6X86-Q33Q,PYSEC-2023-74,,,2.31.0,,runtime,direct,requirements.txt,artifacts\scanner_raw\pip_audit\case_010.json,unknown,pip-audit scanner result; deduplicated_from_2_scanner_records
ca2f712989ff7d36fc34,case_011,npm_audit,minimist,0.0.8,npm,npm,1096466,,GHSA-VH95-RMGR-6W4M,1096466,moderate,5.6,1.2.8,https://github.com/advisories/GHSA-vh95-rmgr-6w4m,runtime,direct,node_modules/minimist,artifacts\scanner_raw\npm_audit\case_011.json,unknown,npm audit scanner result
