case_id,scanner_name,raw_reference,field,warning
case_001,npm_audit,artifacts\scanner_raw\npm_audit\case_001.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_001,npm_audit,artifacts\scanner_raw\npm_audit\case_001.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_001,npm_audit,artifacts\scanner_raw\npm_audit\case_001.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_001,npm_audit,artifacts\scanner_raw\npm_audit\case_001.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_001,npm_audit,artifacts\scanner_raw\npm_audit\case_001.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_003,npm_audit,artifacts\scanner_raw\npm_audit\case_003.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_003,npm_audit,artifacts\scanner_raw\npm_audit\case_003.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_003,npm_audit,artifacts\scanner_raw\npm_audit\case_003.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_003,npm_audit,artifacts\scanner_raw\npm_audit\case_003.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_003,npm_audit,artifacts\scanner_raw\npm_audit\case_003.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_005,npm_audit,artifacts\scanner_raw\npm_audit\case_005.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_005,npm_audit,artifacts\scanner_raw\npm_audit\case_005.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_005,npm_audit,artifacts\scanner_raw\npm_audit\case_005.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_005,npm_audit,artifacts\scanner_raw\npm_audit\case_005.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_005,npm_audit,artifacts\scanner_raw\npm_audit\case_005.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_007,npm_audit,artifacts\scanner_raw\npm_audit\case_007.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_007,npm_audit,artifacts\scanner_raw\npm_audit\case_007.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_007,npm_audit,artifacts\scanner_raw\npm_audit\case_007.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_007,npm_audit,artifacts\scanner_raw\npm_audit\case_007.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_007,npm_audit,artifacts\scanner_raw\npm_audit\case_007.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_009,npm_audit,artifacts\scanner_raw\npm_audit\case_009.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
case_009,npm_audit,artifacts\scanner_raw\npm_audit\case_009.json,scanner_confidence,scanner_confidence missing in scanner output or local dependency context
