case_id,total_duration_seconds,scanner_count,success_count,failed_count,unavailable_count,skipped_not_applicable_count,other_status_count,available_tool_count,notes
case_001,2.757451,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_002,1.721203,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_003,2.607757,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_004,1.67035,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_005,1.982579,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_006,1.804912,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_007,2.189163,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_008,1.865588,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_009,2.050555,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_010,1.962257,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_011,2.623944,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_012,1.880734,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_013,2.153778,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_014,1.713984,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_015,2.150816,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_016,1.638919,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_017,1.965518,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_018,1.792814,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_019,2.383882,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_020,1.953494,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_021,2.322032,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_022,2.024116,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_023,2.598466,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_024,2.300934,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_025,2.192768,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_026,1.908158,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_027,3.30928,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_028,2.365801,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_029,2.427076,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_030,2.17128,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_031,2.226915,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_032,2.580978,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_033,2.082049,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_034,2.468049,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_035,2.404825,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_036,2.130286,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_037,2.058199,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_038,2.22799,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_039,0.0,5,0,0,3,2,0,2,summarized from scanner execution metadata
case_040,0.0,5,0,0,3,2,0,2,summarized from scanner execution metadata
case_041,0.0,5,0,0,3,2,0,2,summarized from scanner execution metadata
case_042,0.0,5,0,0,3,2,0,2,summarized from scanner execution metadata
case_043,0.0,5,0,0,3,2,0,2,summarized from scanner execution metadata
case_044,0.0,5,0,0,3,2,0,2,summarized from scanner execution metadata
case_045,2.62415,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_046,2.153812,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_047,2.092482,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_048,1.742814,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_049,2.158203,5,1,0,3,1,0,2,summarized from scanner execution metadata
case_050,1.772661,5,1,0,3,1,0,2,summarized from scanner execution metadata
